Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
1,The Shawshank Redemption,1994,142,R,9.3,82,2796722,28.34
2,The Godfather,1972,175,R,9.2,100,1948395,134.97
3,The Dark Knight,2008,152,PG-13,9.0,84,2777605,534.86
4,Schindler's List,1993,195,R,9.0,95,1406133,96.9
5,The Lord of the Rings: The Return of the King,2003,201,PG-13,9.0,94,1915094,377.85
6,The Godfather Part II,1974,202,R,9.0,90,1323371,57.3
7,12 Angry Men,1957,96,Approved,9.0,97,831117,4.36
8,Pulp Fiction,1994,154,R,8.9,95,2145290,107.93
9,Inception,2010,148,PG-13,8.8,74,2465944,292.58
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.8,92,1943254,315.54
11,Fight Club,1999,139,R,8.8,67,2230612,37.03
12,Forrest Gump,1994,142,PG-13,8.8,82,2176162,330.25
13,"The Good, the Bad and the Ugly",1966,178,Approved,8.8,90,788749,6.1
14,The Lord of the Rings: The Two Towers,2002,179,PG-13,8.8,87,1728125,342.55
15,Jai Bhim,2021,164,TV-MA,8.8,,210145,
16,777 Charlie,2022,164,,8.8,,36555,
17,Spider-Man: Across the Spider-Verse,2023,140,PG,8.7,86,255835,
18,Interstellar,2014,169,PG-13,8.7,74,1985550,188.02
19,Goodfellas,1990,145,R,8.7,92,1213535,46.84
20,The Matrix,1999,136,R,8.7,73,1988714,171.48
21,One Flew Over the Cuckoo's Nest,1975,133,R,8.7,84,1042756,112.0
22,Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,8.7,82,1340779,290.48
23,Rocketry: The Nambi Effect,2022,157,Not Rated,8.7,,55248,
24,Soorarai Pottru,2020,153,TV-MA,8.7,,120752,
25,Oppenheimer,2023,180,R,8.6,88,427278,
26,Se7en,1995,127,R,8.6,65,1731565,100.13
27,The Silence of the Lambs,1991,118,R,8.6,86,1492170,130.74
28,Saving Private Ryan,1998,169,R,8.6,91,1448536,216.54
